Date,open_sp,high_sp,low_sp,close_sp,volume_sp
"Oct 31, 2017","2575.99","2578.29","2572.15","2575.26","3844420000"
"Oct 30, 2017","2577.75","2580.03","2568.25","2572.83","3660230000"
"Oct 27, 2017","2570.26","2582.98","2565.94","2581.07","3896100000"
"Oct 26, 2017","2560.08","2567.07","2559.80","2560.40","3891750000"
"Oct 25, 2017","2566.52","2567.40","2544.00","2557.15","3885470000"
"Oct 24, 2017","2568.66","2572.18","2565.58","2569.13","3435660000"
"Oct 23, 2017","2578.08","2578.29","2564.33","2564.98","3214470000"
"Oct 20, 2017","2567.56","2575.44","2567.56","2575.21","3394450000"
"Oct 19, 2017","2553.39","2562.36","2547.92","2562.10","3019520000"
"Oct 18, 2017","2562.87","2564.11","2559.67","2561.26","2999320000"
"Oct 17, 2017","2557.17","2559.71","2554.69","2559.36","2901890000"
"Oct 16, 2017","2555.57","2559.47","2552.64","2557.64","2918030000"
"Oct 13, 2017","2555.66","2557.65","2552.09","2553.17","3150470000"
"Oct 12, 2017","2552.88","2555.33","2548.31","2550.93","3157280000"
"Oct 11, 2017","2550.62","2555.24","2547.95","2555.24","2991320000"
"Oct 10, 2017","2549.99","2555.23","2544.86","2550.64","2962610000"
"Oct 09, 2017","2551.39","2551.82","2541.60","2544.73","2486940000"
"Oct 06, 2017","2547.44","2549.41","2543.79","2549.33","2898270000"
"Oct 05, 2017","2540.86","2552.51","2540.02","2552.07","3059730000"
"Oct 04, 2017","2533.48","2540.53","2531.80","2537.74","3020770000"
"Oct 03, 2017","2530.34","2535.13","2528.85","2534.58","3073480000"
"Oct 02, 2017","2521.20","2529.23","2520.40","2529.12","3226370000"
"Sep 29, 2017","2509.96","2519.44","2507.99","2519.36","3220260000"
"Sep 28, 2017","2503.41","2510.81","2502.93","2510.06","3173030000"
"Sep 27, 2017","2503.30","2511.75","2495.91","2507.04","3485070000"
"Sep 26, 2017","2501.04","2503.51","2495.12","2496.84","3070770000"
"Sep 25, 2017","2499.39","2502.54","2488.03","2496.66","3314530000"
"Sep 22, 2017","2497.26","2503.47","2496.54","2502.22","2877980000"
"Sep 21, 2017","2507.16","2507.16","2499.00","2500.60","2965590000"
"Sep 20, 2017","2506.84","2508.85","2496.67","2508.24","3584570000"
"Sep 19, 2017","2506.29","2507.84","2503.19","2506.65","3253760000"
"Sep 18, 2017","2502.51","2508.32","2499.92","2503.87","3204700000"
"Sep 15, 2017","2495.67","2500.23","2493.16","2500.23","4862970000"
"Sep 14, 2017","2494.56","2498.43","2491.35","2495.62","3422470000"
"Sep 13, 2017","2493.89","2498.37","2492.14","2498.37","3371370000"
"Sep 12, 2017","2491.94","2496.77","2490.37","2496.48","3234280000"
"Sep 11, 2017","2474.52","2488.95","2474.52","2488.11","3293460000"
"Sep 08, 2017","2462.25","2467.11","2459.40","2461.43","3308360000"
"Sep 07, 2017","2468.06","2468.62","2460.29","2465.10","3365780000"
"Sep 06, 2017","2463.83","2469.64","2459.20","2465.54","3400200000"
"Sep 05, 2017","2470.35","2471.97","2446.55","2457.85","3502190000"
"Sep 01, 2017","2474.42","2480.38","2473.85","2476.55","2712780000"
"Aug 31, 2017","2462.65","2475.01","2462.65","2471.65","3353860000"
"Aug 30, 2017","2446.06","2460.31","2443.77","2457.59","2637780000"
"Aug 29, 2017","2431.94","2449.19","2428.20","2446.30","2739460000"
"Aug 28, 2017","2447.35","2449.12","2439.03","2444.24","2682920000"
"Aug 25, 2017","2444.72","2453.96","2442.22","2443.05","2593350000"
"Aug 24, 2017","2447.91","2450.39","2436.19","2438.97","2849680000"
"Aug 23, 2017","2444.88","2448.91","2441.42","2444.04","2796950000"
"Aug 22, 2017","2433.75","2454.77","2433.67","2452.51","2780990000"
"Aug 21, 2017","2425.50","2430.58","2417.35","2428.37","2803650000"
"Aug 18, 2017","2427.64","2440.27","2420.69","2425.55","3426970000"
"Aug 17, 2017","2462.95","2465.02","2430.01","2430.01","3164950000"
"Aug 16, 2017","2468.63","2474.93","2463.86","2468.11","2956570000"
"Aug 15, 2017","2468.66","2468.90","2461.61","2464.61","2922430000"
"Aug 14, 2017","2454.96","2468.22","2454.96","2465.84","2824320000"
"Aug 11, 2017","2441.04","2448.09","2437.85","2441.32","3161830000"
"Aug 10, 2017","2465.38","2465.38","2437.75","2438.21","3635820000"
"Aug 09, 2017","2465.35","2474.41","2462.08","2474.02","3310960000"
"Aug 08, 2017","2478.35","2490.87","2470.32","2474.92","3347480000"
"Aug 07, 2017","2477.14","2480.95","2475.88","2480.91","2935130000"
"Aug 04, 2017","2476.88","2480.00","2472.08","2476.83","3239980000"
"Aug 03, 2017","2476.03","2476.03","2468.85","2472.16","3662410000"
"Aug 02, 2017","2480.38","2480.38","2466.48","2477.57","3487150000"
"Aug 01, 2017","2477.10","2478.51","2471.14","2476.35","3470260000"
"Jul 31, 2017","2475.94","2477.96","2468.53","2470.30","3475930000"
"Jul 28, 2017","2469.12","2473.53","2464.66","2472.10","3302850000"
"Jul 27, 2017","2482.76","2484.04","2459.93","2475.42","4035740000"
"Jul 26, 2017","2479.97","2481.69","2474.94","2477.83","3597830000"
"Jul 25, 2017","2477.88","2481.24","2474.91","2477.13","4116360000"
"Jul 24, 2017","2472.04","2473.10","2466.32","2469.91","3019920000"
"Jul 21, 2017","2467.40","2472.54","2465.06","2472.54","3066880000"
"Jul 20, 2017","2475.56","2477.62","2468.43","2473.45","3223820000"
"Jul 19, 2017","2463.85","2473.83","2463.85","2473.83","3063810000"
"Jul 18, 2017","2455.88","2460.92","2450.34","2460.61","2974090000"
"Jul 17, 2017","2459.50","2462.82","2457.16","2459.14","2800580000"
"Jul 14, 2017","2449.16","2463.54","2446.69","2459.27","2738460000"
"Jul 13, 2017","2444.99","2449.32","2441.69","2447.83","3068510000"
"Jul 12, 2017","2435.75","2445.76","2435.75","2443.25","3176900000"
"Jul 11, 2017","2427.35","2429.30","2412.79","2425.53","3108800000"
"Jul 10, 2017","2424.51","2432.00","2422.27","2427.43","3009880000"
"Jul 07, 2017","2413.52","2426.92","2413.52","2425.18","2929390000"
"Jul 06, 2017","2423.44","2424.28","2407.70","2409.75","3368710000"
"Jul 05, 2017","2430.78","2434.90","2422.05","2432.54","3368150000"
"Jul 03, 2017","2431.39","2439.17","2428.69","2429.01","1901480000"
"Jun 30, 2017","2429.20","2432.71","2421.65","2423.41","3366030000"
"Jun 29, 2017","2442.38","2442.73","2405.70","2419.70","3869560000"
"Jun 28, 2017","2428.70","2442.97","2428.02","2440.69","3479980000"
"Jun 27, 2017","2436.34","2440.15","2419.38","2419.38","3564770000"
"Jun 26, 2017","2443.32","2450.42","2437.03","2439.07","3243660000"
"Jun 23, 2017","2434.65","2441.40","2431.11","2438.30","5282460000"
"Jun 22, 2017","2437.40","2441.62","2433.27","2434.50","3477250000"
"Jun 21, 2017","2439.31","2442.23","2430.74","2435.61","3599190000"
"Jun 20, 2017","2450.66","2450.66","2436.60","2437.03","3422700000"
"Jun 19, 2017","2442.55","2453.82","2441.79","2453.46","3271480000"
"Jun 16, 2017","2431.24","2433.15","2422.88","2433.15","5299380000"
"Jun 15, 2017","2424.14","2433.95","2418.53","2432.46","3371980000"
"Jun 14, 2017","2443.75","2443.75","2428.34","2437.92","3558640000"
"Jun 13, 2017","2434.15","2441.49","2431.28","2440.35","3278240000"
"Jun 12, 2017","2425.88","2430.38","2419.97","2429.39","4031840000"
"Jun 09, 2017","2436.39","2446.20","2415.70","2431.77","4029860000"
"Jun 08, 2017","2434.27","2439.27","2427.94","2433.79","3735980000"
"Jun 07, 2017","2432.03","2435.28","2424.75","2433.14","3576220000"
"Jun 06, 2017","2431.92","2436.21","2428.12","2429.33","3376750000"
"Jun 05, 2017","2437.83","2439.55","2434.32","2436.10","2916720000"
"Jun 02, 2017","2431.28","2440.23","2427.71","2439.07","3465500000"
"Jun 01, 2017","2415.65","2430.06","2413.54","2430.06","3860620000"
"May 31, 2017","2415.63","2415.99","2403.59","2411.80","4518040000"
"May 30, 2017","2411.67","2415.26","2409.43","2412.91","3205860000"
"May 26, 2017","2414.50","2416.68","2412.20","2415.82","2806930000"
"May 25, 2017","2409.54","2418.71","2408.01","2415.07","3538210000"
"May 24, 2017","2401.41","2405.58","2397.99","2404.39","3389240000"
"May 23, 2017","2397.04","2400.85","2393.88","2398.42","3216560000"
"May 22, 2017","2387.21","2395.46","2386.92","2394.02","3176580000"
"May 19, 2017","2371.37","2389.06","2370.43","2381.73","3831700000"
"May 18, 2017","2354.69","2375.74","2352.72","2365.72","4319440000"
"May 17, 2017","2382.95","2384.87","2356.21","2357.03","4164760000"
"May 16, 2017","2404.55","2405.77","2396.05","2400.67","3421810000"
"May 15, 2017","2393.98","2404.05","2393.94","2402.32","3490080000"
"May 12, 2017","2392.44","2392.44","2387.19","2390.90","3304620000"
"May 11, 2017","2394.84","2395.72","2381.74","2394.44","3727710000"
"May 10, 2017","2396.79","2399.74","2392.79","2399.63","3649370000"
"May 09, 2017","2401.58","2403.87","2392.44","2396.92","3657840000"
"May 08, 2017","2399.94","2401.36","2393.92","2399.38","3429990000"
"May 05, 2017","2392.37","2399.29","2389.38","2399.29","3543240000"
"May 04, 2017","2389.79","2391.43","2380.35","2389.52","4367860000"
"May 03, 2017","2386.50","2389.82","2379.75","2388.13","3896760000"
"May 02, 2017","2391.05","2392.93","2385.82","2391.17","3861360000"
"May 01, 2017","2388.50","2394.49","2384.83","2388.33","3201500000"
"Apr 28, 2017","2393.68","2393.68","2382.36","2384.20","3721350000"
"Apr 27, 2017","2389.70","2392.10","2382.68","2388.77","4099940000"
"Apr 26, 2017","2388.98","2398.16","2386.78","2387.45","4111350000"
